1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Тематическое_моделирование(0.7382532358169556)|TASK::Извлечение_именованных_сущностей(0.724492073059082)|TASK::Cегментация_текста(0.7132718563079834)|TASK::Дистрибутивная_семантика(0.7104436159133911)
4	dialogue_2019_2ae11e31cca0b3255f6d974e3ca933a49b03d961	en	0.9785645008087158	An Anaphora Resolution System For Russian Based On Etap-4 Linguistic Processor	http://www.dialog-21.ru/media/4829/inshakovaes-167.pdf	TASK::Дистрибутивная_семантика(0.731277585029602)|TASK::Извлечение_именованных_сущностей(0.718990683555603)
5	dialogue_2017_5ac351a68efb56b2e92cf5ea32d54067bbf2439d	en	0.9771337509155273	‘Tensed’ And ‘Non-Tensed’ Predicatives In Russian	http://www.dialog-21.ru/media/3923/letuchiyab.pdf	
6	dialogue_2005_ed84ad87736180089a879a6c7b428c0f04cb0108	en	0.9757742881774902	Weak Noun Phrases: Semantics and Syntax	http://www.dialog-21.ru/media/2412/partee_dialog2005.pdf	TASK::Дистрибутивная_семантика(0.7238088846206665)
7	dialogue_2011_438f2428713ec12f0d17804cbec5d405e3590e12	en	0.9753129482269287	Scrambling Types In The Slavic Languages	http://www.dialog-21.ru/media/1472/71.pdf	
8	dialogue_2011_1fdab93fd58dc25e352d99380b3db73e78e8aa94	en	0.9748511910438538	Accent Placement Principles In Russian	http://www.dialog-21.ru/media/1469/68.pdf	TASK::Извлечение_именованных_сущностей(0.7032321691513062)
9	dialogue_2014_ff211fd207857cd8dd5df5cafd5fa650acae9252	en	0.9747121334075928	“vchera Nasochinyalsya Voroh Strok”: Productive Circumfixal Intensifying Patterns in Russian	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/NedoluzhkoAYuKhoroshkinaAS.pdf	
10	dialogue_2011_28dad8a86d23abd6d9ae3a750af08ec11948bbaa	en	0.9743846654891968	Semi-tagged Corpora Method Exemplified With A Study Of Ossetic Nominalization	http://www.dialog-21.ru/media/1425/25.pdf	TASK::Извлечение_именованных_сущностей(0.7105773687362671)|TASK::Дистрибутивная_семантика(0.7030248641967773)

28.		dialogue_2015_87b497262b42d4d275a0394ff6bf9c92d9a2afc7	en	Extracting aspects, sentiment and categories of aspects in user reviews about restaurants and cars	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/IvanovVVetal.pdf	TASK::Тематическое_моделирование(0.7178881168365479)|TASK::Анализ_тональности(0.7168707251548767)|TASK::Извлечение_именованных_сущностей(0.7123695611953735)
1	dialogue_2015_134cb8995dd20f4bb853702b63e9edadc2c7df2f	en	0.9922747611999512	Semantic Similarity for Aspect‑based Sentiment Analysis	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/BlinovPDKotelnikovEV.pdf	TASK::Анализ_тональности(0.7139819860458374)|TASK::Извлечение_именованных_сущностей(0.7069305777549744)|TASK::Тематическое_моделирование(0.702614426612854)
2	dialogue_2015_6e1f13dd827d92f1a0900435f28e1829c76fcd01	en	0.9903298616409302	A high precision method for aspect extraction in Russian	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/MayorovVDetal.pdf	TASK::Извлечение_именованных_сущностей(0.723670482635498)|TASK::Тематическое_моделирование(0.7110328674316406)
3	dialogue_2014_996aa430f6b2dc398c1e5212162ee6b5f17f189a	en	0.9892510175704956	Using Distributed Representations for Aspect-based Sentiment Analysis	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BlinovPDKotelnikovEV.pdf	TASK::Анализ_тональности(0.7167923450469971)|TASK::Извлечение_именованных_сущностей(0.7118306756019592)|TASK::Тематическое_моделирование(0.7038617730140686)
4	dialogue_2015_c95629fb9bd77ddca47604357255746d7a6487a0	en	0.9879615902900696	SentiRuEval: testing object-oriented sentiment analysis systems in Russian	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/LoukachevitchNVetal.pdf	TASK::Анализ_тональности(0.7292236089706421)|TASK::Тематическое_моделирование(0.7094142436981201)|TASK::Извлечение_именованных_сущностей(0.7072566747665405)
5	aist_2016_1356a10e62120390fc319a721150bfbe9482eed3	en	0.9861561059951782	Constructing Aspect-based Sentiment Lexicons with Topic Modeling	https://link.springer.com/chapter/10.1007/978-3-319-52920-2_20	TASK::Анализ_тональности(0.7313522100448608)|TASK::Тематическое_моделирование(0.719392716884613)|TASK::Извлечение_именованных_сущностей(0.7148313522338867)
6	dialogue_2015_44f006b78cdf1e4c9fb8931f35171b3ffb122071	en	0.9846810102462769	Syntax-based sentiment analysis of tweets in Russian	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/AdaskinaYuVPanichevaPVPopovAM.pdf	TASK::Дистрибутивная_семантика(0.7151197195053101)|TASK::Извлечение_именованных_сущностей(0.7128584384918213)|TASK::Анализ_тональности(0.7125858068466187)|TASK::Тематическое_моделирование(0.7065571546554565)
7	dialogue_2013_cfb80c5b79ac4637d17048039b0d1c1fc2d68a27	en	0.9838886260986328	Research of Lexical Approach and Machine Learning Methods for Sentiment Analysis	http://www.dialog-21.ru/media/1226/blinovpd.pdf	TASK::Анализ_тональности(0.7165656089782715)|TASK::Тематическое_моделирование(0.7123937010765076)|TASK::Cегментация_текста(0.7027479410171509)
8	aist_2019_efed15362c0565177ddf09bdd07301b016b657e4	en	0.9828770160675049	Wear The Right Head: Comparing Strategies For Encoding Sentences For Aspect Extraction	https://link.springer.com/chapter/10.1007/978-3-030-37334-4_15	TASK::Тематическое_моделирование(0.7291783094406128)|TASK::Извлечение_именованных_сущностей(0.7113314270973206)
9	ainl_2019_899eb2289af7a98c714adf18b599091b09e7e578	en	0.9826821088790894	Sentiruscoll: Russian Collocation Lexicon For Sentiment Analysis	https://link.springer.com/chapter/10.1007/978-3-030-34518-1_2	TASK::Анализ_тональности(0.710256814956665)
10	dialogue_2015_4434e2c19982536d0de29d52e83a5ce3f4bcbf68	en	0.9821404218673706	Deep recurrent neural networks for multiple language aspect-based sentiment analysis of user reviews	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/TarasovDS.pdf	TASK::Тематическое_моделирование(0.7113306522369385)

29.		dialogue_2016_c1f6ca221c4c2c4b39b029a802f645d911d9dfd9	en	Multi-pronunciation Lexicon For Russian Automatic Speech Recognition (Pilot Study)	http://www.dialog-21.ru/media/3425/shirokovaaetal.pdf	TASK::Извлечение_именованных_сущностей(0.7153079509735107)
1	dialogue_2009_6bc8291ac11d9cd0a16a175a189cb728653ed08c	en	0.984371542930603	Transcrbing, structuring and temporal analysis of fluent speech corpus for a unit selection tts system for Estonian	http://www.dialog-21.ru/media/1641/91.pdf	TASK::Извлечение_именованных_сущностей(0.7005118727684021)
2	dialogue_2001_021a9e82cfe5bf2040a88f58267471fca7a6366a	en	0.9835250377655029	Evaluation the Quality of Estonian Text-to-speech Synthesis and Diphone Corrector for the Tts System	http://www.dialog-21.ru/digest/2001/articles/mihkla/	TASK::Извлечение_именованных_сущностей(0.705461859703064)|TASK::Cегментация_текста(0.7015078067779541)
3	dialogue_2013_5c12b26c3a1dd1910bdd48b580cdac0038c23aaa	en	0.9810130000114441	Evaluation of Naturalness of Synthesized Speech with Different Prosodic Models	http://www.dialog-21.ru/media/1291/solomennikai.pdf	TASK::Обработка_речи(0.7242909073829651)|TASK::Извлечение_именованных_сущностей(0.7051724791526794)
4	ainl_2018_fdc265a678017c20e64f10429cf5f1b373f871db	en	0.9804068803787231	Lemmatization for Ancient Languages: Rules or Neural Networks?	https://link.springer.com/chapter/10.1007/978-3-030-01204-5_4	TASK::Извлечение_именованных_сущностей(0.7062644958496094)
5	ainl_2016_fe01f43405b33cea9236f97fb484594f9adce505	en	0.9797195196151733	Speech Analysis and Synthesis Systems for the Tatar Language	http://ieeexplore.ieee.org/document/7891858/	TASK::Извлечение_именованных_сущностей(0.7273740768432617)|TASK::Языковые_модели(0.7174860239028931)|TASK::Cегментация_текста(0.7028302550315857)
6	dialogue_2016_9c03daad12b268dbbdd4c91fc827191efa016e0f	en	0.9779056906700134	Automatic Spelling Correction For Russian Social Media Texts	http://www.dialog-21.ru/media/3429/sorokinaashavrinato.pdf	TASK::Извлечение_именованных_сущностей(0.7010785341262817)
7	dialogue_2012_84593f5527caa1d4cba42770a67b6f639a3dbe3d	en	0.9778819680213928	Russian intonation corpus: a preliminary report	http://www.dialog-21.ru/media/1312/120.pdf	TASK::Извлечение_именованных_сущностей(0.7069270610809326)
8	ainl_2017_008141633713e94b23d4b59aae97a229364e6df7	en	0.9775248169898987	A Close Look at Russian Morphological Parsers: which One is the Best?	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_12	
9	ainl_2016_1427f443fcfdce2f6745cec5519954b092546a73	en	0.9774503707885742	A General Method Applicable to the Search for Anglicisms in Russian Social Network Texts	http://ieeexplore.ieee.org/document/7891854/	TASK::Извлечение_именованных_сущностей(0.7018846273422241)
10	dialogue_2016_dc118c8dd5150205dedb176284e5191a69161ae1	en	0.9770350456237793	Grammatical Dictionary Generation Using Machine Learning Methods	http://www.dialog-21.ru/media/3414/mazurovam.pdf	TASK::Дистрибутивная_семантика(0.7099305391311646)|TASK::Извлечение_именованных_сущностей(0.7007545232772827)

30.		dialogue_2016_1ca08ad514b70f52f4475f72894dfe8321054580	en	The Beginning of a Beautiful Friendship: Rule-based and Statistical Analysis of Middle Russian	http://www.dialog-21.ru/media/3384/berdi%C4%8Devskisaetal.pdf	
1	dialogue_2011_64a6e5fca2c52210d927131af2cbf8962ce3d016	en	0.9874355792999268	The Proper Place of Men and Machines in Language Technology. Processing Russian Without any Linguistic Knowledge	http://www.dialog-21.ru/media/1459/58.pdf	TASK::Извлечение_именованных_сущностей(0.7038953304290771)
2	aist_2016_50e90213fe47c4527e82fbdb0849255f365bd7fb	en	0.9872726798057556	Morphological Analysis for Russian: Integration and Comparison of Taggers	https://link.springer.com/chapter/10.1007/978-3-319-52920-2_16	
3	ainl_2017_008141633713e94b23d4b59aae97a229364e6df7	en	0.9858564734458923	A Close Look at Russian Morphological Parsers: which One is the Best?	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_12	
4	dialogue_2013_6b5edb088d7188e47b2f957abb08fa2ece0e86c7	en	0.9857631921768188	Unsupervised learning of part-of-speech disambiguation rules	http://www.dialog-21.ru/media/1283/protopopovaev.pdf	TASK::Извлечение_именованных_сущностей(0.7006881833076477)
5	dialogue_2017_5b4d5ac24c70c29003065b717451cfbc995d09c3	en	0.9850470423698425	Morphorueval-2017: an Evaluation Track for the Automatic Morphological Analysis Methods for Russian	http://www.dialog-21.ru/media/3951/sorokinaetal.pdf	TASK::Извлечение_именованных_сущностей(0.7025630474090576)
6	dialogue_2016_9c03daad12b268dbbdd4c91fc827191efa016e0f	en	0.9842180013656616	Automatic Spelling Correction For Russian Social Media Texts	http://www.dialog-21.ru/media/3429/sorokinaashavrinato.pdf	TASK::Извлечение_именованных_сущностей(0.7010785341262817)
7	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.9825869798660278	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Извлечение_именованных_сущностей(0.7092472314834595)|TASK::Дистрибутивная_семантика(0.7030977606773376)
8	dialogue_2011_f51cb206951fecc9ef51e2329cbf588cd010bb26	en	0.982454240322113	Tagging Lexical Functions In Russian Texts Of Syntagrus	http://www.dialog-21.ru/media/1423/23.pdf	
9	aist_2015_3510e16a598e3df1f53950a7a95479454cfdc0f9	en	0.9822710752487183	Morphological Analyzer and Generator for Russian and Ukrainian Languages	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_31	TASK::Извлечение_именованных_сущностей(0.7080981731414795)
10	dialogue_2014_af9b1fe3c184a5ffaf2c3f91591a3e2ae1c8fc53	en	0.9821856021881104	Anaphoric annotation and corpus-based anaphora resolution: an experiment	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ProtopopovaEV.pdf	TASK::Извлечение_именованных_сущностей(0.7173813581466675)

31.		dialogue_2017_6407e00d6077550a0b837e661734f0ad1adfd30a	en	Complex Approach Towards Algoritm Learning for Anaphora Resolution in Russian Language	http://www.dialog-21.ru/media/3913/gureenkovaoaetal.pdf	TASK::Извлечение_именованных_сущностей(0.7114666700363159)|TASK::Дистрибутивная_семантика(0.7104504108428955)|TASK::Тематическое_моделирование(0.7028658390045166)
1	dialogue_2017_c3891ca5834982ee8e7fc5585002508bf40f0f52	en	0.9899996519088745	Coreference Resolution in Russian: State-of-the-art Approaches Application and Evolvement	http://www.dialog-21.ru/media/3954/sysoevaaetal.pdf	TASK::Извлечение_именованных_сущностей(0.724648118019104)|TASK::Тематическое_моделирование(0.7044963240623474)
2	dialogue_2014_12d2a2ff7e1674980388f9a86c74976e1bb828be	en	0.9873313903808594	Conditional random field for morphological disambiguation in Russian	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MuzychkaSA.pdf	TASK::Дистрибутивная_семантика(0.7202460765838623)|TASK::Извлечение_именованных_сущностей(0.7092442512512207)
3	ainl_2017_39a1e4adaff81cebb72b512ef88716f5f6c817f8	en	0.9871901869773865	Knowledge-lean Paraphrase Identification Using Character-based Features	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_21	TASK::Извлечение_именованных_сущностей(0.7031221389770508)
4	dialogue_2017_32ef8ddceca283cb33d46edff37cb8e16331d434	en	0.9871393442153931	Coreference Resolution for Russian: the Impact of Semantic Features	http://www.dialog-21.ru/media/3956/toldovasionovm.pdf	TASK::Извлечение_именованных_сущностей(0.7114095687866211)|TASK::Тематическое_моделирование(0.7079102993011475)
5	aist_2018_3b4a66d1e88d2674772efe01f34ba1b412b49756	en	0.9871071577072144	Russian Q&a Method Study: from Naive Bayes to Convolutional Neural Networks	https://link.springer.com/chapter/10.1007/978-3-030-11027-7_12	TASK::Извлечение_именованных_сущностей(0.7038213610649109)|TASK::Тематическое_моделирование(0.7033823728561401)|TASK::Cегментация_текста(0.701689600944519)
6	dialogue_2017_7be9a228ca855ad40a4435aba03d8f5c5c2ac392	en	0.986990213394165	Exploiting Russian Word Embeddings for Automated Grammeme Prediction	http://www.dialog-21.ru/media/3943/romanovav.pdf	TASK::Дистрибутивная_семантика(0.7340500354766846)|TASK::Извлечение_именованных_сущностей(0.7230119109153748)|TASK::Тематическое_моделирование(0.715614914894104)
7	dialogue_2015_6e1f13dd827d92f1a0900435f28e1829c76fcd01	en	0.9868371486663818	A high precision method for aspect extraction in Russian	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/MayorovVDetal.pdf	TASK::Извлечение_именованных_сущностей(0.723670482635498)|TASK::Тематическое_моделирование(0.7110328674316406)
8	dialogue_2019_b85523b62f37e902a7c897bf5a942bbc2df49ca8	en	0.9866936206817627	Morphological Parsing Of Low‑Resource Languages	http://www.dialog-21.ru/media/4628/sorokinаа-163.pdf	TASK::Cегментация_текста(0.7122693061828613)|TASK::Дистрибутивная_семантика(0.7109950184822083)
9	dialogue_2014_13546e52cdad32ee2464e5efb9db62a297e57f1e	en	0.9863389134407043	The Impact Of Morphology Processing Quality On Automated Anaphora Resolution For Russian	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/IonovMKutuzovA.pdf	TASK::Извлечение_именованных_сущностей(0.707612156867981)
10	ainl_2019_d75bbe7d46f6a8a183f5aa3997113881f3e361ba	en	0.9859386682510376	Prosodic Boundaries Prediction In Russian Using Morphological And Syntactic Features	https://link.springer.com/chapter/10.1007/978-3-030-34518-1_9	TASK::Извлечение_именованных_сущностей(0.7104509472846985)|TASK::Дистрибутивная_семантика(0.7093003988265991)

32.		dialogue_2017_4b9b6213a17d94ebadbbe7373a73430c1ba47282	en	Semantic Role Labeling with Neural Networks for Texts in Russian	http://www.dialog-21.ru/media/3945/shelmanovaodevyatkinda.pdf	TASK::Дистрибутивная_семантика(0.7377870678901672)|TASK::Тематическое_моделирование(0.7326878309249878)|TASK::Извлечение_именованных_сущностей(0.7178103923797607)|TASK::Языковые_модели(0.7001088261604309)
1	aist_2015_87dbe14d1930039d517d969e84a3504f8af4cc03	en	0.9903339147567749	Semantic Role Labeling for Russian Language Based on Russian Framebank	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_32	TASK::Дистрибутивная_семантика(0.712679386138916)|TASK::Тематическое_моделирование(0.7121152281761169)|TASK::Извлечение_именованных_сущностей(0.7097681760787964)
2	dialogue_2019_8cc8a65499e25b4d5ac355966d164f48794e5326	en	0.9877566695213318	Classification Models For Rst Discourse Parsing Of Texts In Russian	http://www.dialog-21.ru/media/4595/chistovaevplusetal-076.pdf	TASK::Дистрибутивная_семантика(0.7322876453399658)|TASK::Тематическое_моделирование(0.7248397469520569)|TASK::Извлечение_именованных_сущностей(0.7237778902053833)|TASK::Cегментация_текста(0.7184884548187256)|TASK::Анализ_тональности(0.7010329961776733)
3	dialogue_2017_7be9a228ca855ad40a4435aba03d8f5c5c2ac392	en	0.9865924119949341	Exploiting Russian Word Embeddings for Automated Grammeme Prediction	http://www.dialog-21.ru/media/3943/romanovav.pdf	TASK::Дистрибутивная_семантика(0.7340500354766846)|TASK::Извлечение_именованных_сущностей(0.7230119109153748)|TASK::Тематическое_моделирование(0.715614914894104)
4	dialogue_2014_b62168b517e302eb756c1faebcafc345748fcbf9	en	0.9863346815109253	Methods for semantic role labeling of Russian texts	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ShelmanovAOSmirnovIV.pdf	TASK::Дистрибутивная_семантика(0.7622418403625488)|TASK::Извлечение_именованных_сущностей(0.7229055166244507)|TASK::Тематическое_моделирование(0.7152868509292603)|TASK::Извлечение_ключевых_слов(0.7085979580879211)|TASK::Cегментация_текста(0.7052558660507202)
5	dialogue_2016_5c7560d2b8daf2ae1e06aa781d74bff0a131fbc9	en	0.9857864379882812	Improving Distributional Semantic Models Using Anaphora Resolution During Linguistic Preprocessing	http://www.dialog-21.ru/media/3401/koslowaokutuzova.pdf	TASK::Извлечение_именованных_сущностей(0.7101150751113892)|TASK::Дистрибутивная_семантика(0.7093521356582642)|TASK::Тематическое_моделирование(0.7068511247634888)
6	aist_2019_efed15362c0565177ddf09bdd07301b016b657e4	en	0.9857039451599121	Wear The Right Head: Comparing Strategies For Encoding Sentences For Aspect Extraction	https://link.springer.com/chapter/10.1007/978-3-030-37334-4_15	TASK::Тематическое_моделирование(0.7291783094406128)|TASK::Извлечение_именованных_сущностей(0.7113314270973206)
7	ainl_2017_956c07fe7862125a1fc1fde6e17081cdb9e9b565	en	0.9854997992515564	Character-level Convolutional Neural Network for Paraphrase Detection and other Experiments	http://www.di.fc.ul.pt/~ahb/pubs/2017MaraevSaediRodriguesEtAl_provisorio.pdf	TASK::Cегментация_текста(0.715909481048584)|TASK::Дистрибутивная_семантика(0.7115713357925415)|TASK::Тематическое_моделирование(0.7110629081726074)|TASK::Обнаружение_дубликатов(0.7045245170593262)
8	dialogue_2019_b85523b62f37e902a7c897bf5a942bbc2df49ca8	en	0.9851551055908203	Morphological Parsing Of Low‑Resource Languages	http://www.dialog-21.ru/media/4628/sorokinаа-163.pdf	TASK::Cегментация_текста(0.7122693061828613)|TASK::Дистрибутивная_семантика(0.7109950184822083)
9	ainl_2017_8c133c4589f12a1ce238c159d844ad4e06d0767d	en	0.9850937128067017	Interpretable Probabilistic Embeddings: Bridging the Gap between Topic Models and Neural Networks	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_15	TASK::Тематическое_моделирование(0.7364741563796997)|TASK::Дистрибутивная_семантика(0.7348723411560059)|TASK::Извлечение_именованных_сущностей(0.7080604434013367)
10	dialogue_2018_95f62d40c614e814a5fc7514891a9505b3a0e261	en	0.9850895404815674	Improving Neural Morphological Tagging Using Language Models	http://www.dialog-21.ru/media/4530/sorokinaa.pdf	TASK::Дистрибутивная_семантика(0.7042173147201538)|TASK::Тематическое_моделирование(0.7032912969589233)|TASK::Извлечение_именованных_сущностей(0.7004357576370239)|TASK::Cегментация_текста(0.7003229260444641)

33.		dialogue_2017_d94d7e3801d8f21c3421ddc7b67f48f60ef7997d	en	Multi-level Student Essay Feedback in a Learner Corpus	http://www.dialog-21.ru/media/3961/vinogradovaoietal.pdf	TASK::Тематическое_моделирование(0.7065328359603882)
1	dialogue_2018_8199d54eb226a7a544ec156a32c9912cf53d1359	en	0.9862866401672363	Automated Text Readability Assessment for Russian Second Language Learners	http://www.dialog-21.ru/media/4312/laposhina%D0%B0n.pdf	TASK::Cегментация_текста(0.7126003503799438)|TASK::Тематическое_моделирование(0.7041977643966675)
2	dialogue_2016_994c6757f99e42a0aa7c6d5521437e930b035003	en	0.9859366416931152	The Role and Applications of Expert Error Annotation in a Corpus of English Learner Texts	http://www.dialog-21.ru/media/3440/vinogradovaoi.pdf	TASK::Извлечение_именованных_сущностей(0.7016308307647705)
3	dialogue_2018_f49e5d3bee8499b46bf37c11ebeb1369d105bada	en	0.9840198755264282	Efficiency of Text Readability Features in Russian Academic Texts	http://www.dialog-21.ru/media/4302/ivanovvv.pdf	TASK::Cегментация_текста(0.7116835117340088)|TASK::Тематическое_моделирование(0.7022366523742676)
4	dialogue_2015_3f2e67cc4bbbc560dcba69a5d5c1465353e2f309	en	0.9812160730361938	Exercise Maker: automatic language exercise generation	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/MalafeevAYu.pdf	TASK::Извлечение_именованных_сущностей(0.7043183445930481)
5	aist_2019_d6b02078db975995b1bd27b4d370c829357b9ed3	en	0.9803544282913208	Cross-Lingual Argumentation Mining For Russian Texts	https://link.springer.com/chapter/10.1007/978-3-030-37334-4_12	TASK::Тематическое_моделирование(0.7053999900817871)|TASK::Извлечение_именованных_сущностей(0.7003656625747681)
6	dialogue_2016_26cc181f8f467bde0690517f45d93ddafd8d9288	en	0.9792262315750122	An Opinion Word Lexicon and A Training Dataset for Russian Sentiment Analysis of Social Media	http://www.dialog-21.ru/media/3400/koltsovaoyuetal.pdf	TASK::Анализ_тональности(0.7119206190109253)|TASK::Тематическое_моделирование(0.7103474140167236)|TASK::Извлечение_именованных_сущностей(0.701242983341217)
7	dialogue_2019_fe9d842af150f4c9ba8eb8e30eb317066df2db02	en	0.9791120290756226	Assessing Theme Adherence In Student Thesis	http://www.dialog-21.ru/media/4633/tikhomirovmmplusetal-097.pdf	TASK::Извлечение_именованных_сущностей(0.7055873274803162)|TASK::Тематическое_моделирование(0.7047997117042542)
8	ainl_2017_a5dd4611b1c5e0cc225aa1b9dca77c8b3c95a196	en	0.9776954650878906	Paraphraser: Russian Paraphrase Corpus and Shared Task	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_18	TASK::Тематическое_моделирование(0.7043917179107666)|TASK::Cегментация_текста(0.7036654353141785)
9	aist_2014_b52e30d63f16b825c659b285e3410d02146ab8c5	en	0.9771537184715271	Single-sentence Readability Prediction in Russian	https://link.springer.com/chapter/10.1007/978-3-319-12580-0_9	TASK::Cегментация_текста(0.7123100161552429)|TASK::Дистрибутивная_семантика(0.7032332420349121)
10	dialogue_2017_c456f96d43886627d9c9c6d41d7558b9a48b903a	en	0.9768367409706116	Linguistic Tendencies in English to Russian Translation: the Case of Connectives	http://www.dialog-21.ru/media/3920/kunilovskayama.pdf	TASK::Cегментация_текста(0.7034242153167725)

34.		dialogue_2018_37e12e9856473293c99667fa95da1e72abb1aff6	en	Morphological Segmentation with Sequence to Sequence Neural Network	http://www.dialog-21.ru/media/4287/arefyevnv.pdf	TASK::Cегментация_текста(0.7106480598449707)|TASK::Извлечение_именованных_сущностей(0.7079071402549744)|TASK::Дистрибутивная_семантика(0.7039459347724915)
1	ainl_2019_79e0519d19e9fb8fad9598c872ac50824e8d4270	en	0.9909654855728149	Bi-Lstm Model For Morpheme Segmentation Of Russian Words	https://link.springer.com/chapter/10.1007/978-3-030-34518-1_11	TASK::Извлечение_именованных_сущностей(0.7109016180038452)|TASK::Дистрибутивная_семантика(0.7070997357368469)|TASK::Cегментация_текста(0.7009879946708679)
2	dialogue_2019_9e8586d83095fc0bb44577c37c4b8661dc21bfd8	en	0.9908366203308105	Comparing Models Of Morpheme Analysis For Russian Words Based On Machine Learning	http://www.dialog-21.ru/media/4590/bolshakovaeiplussapinas-036.pdf	TASK::Извлечение_именованных_сущностей(0.7130488157272339)|TASK::Дистрибутивная_семантика(0.7119584083557129)|TASK::Cегментация_текста(0.7074044346809387)
3	dialogue_2019_b85523b62f37e902a7c897bf5a942bbc2df49ca8	en	0.9905174374580383	Morphological Parsing Of Low‑Resource Languages	http://www.dialog-21.ru/media/4628/sorokinаа-163.pdf	TASK::Cегментация_текста(0.7122693061828613)|TASK::Дистрибутивная_семантика(0.7109950184822083)
4	dialogue_2015_112a8b3e9753b3c36f6cadfba49d55a87a6e73aa	en	0.989952027797699	Evaluating three corpus-based semantic similarity systems for Russian	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ArefyevNVetal.pdf	TASK::Извлечение_именованных_сущностей(0.7097734212875366)
5	dialogue_2018_95f62d40c614e814a5fc7514891a9505b3a0e261	en	0.9886809587478638	Improving Neural Morphological Tagging Using Language Models	http://www.dialog-21.ru/media/4530/sorokinaa.pdf	TASK::Дистрибутивная_семантика(0.7042173147201538)|TASK::Тематическое_моделирование(0.7032912969589233)|TASK::Извлечение_именованных_сущностей(0.7004357576370239)|TASK::Cегментация_текста(0.7003229260444641)
6	ainl_2016_e8872a55de95cee414e59666b22418080a09f173	en	0.988484263420105	Improving Neural Network Models for Natural Language Processing in Russian with Synonyms	http://ieeexplore.ieee.org/document/7891856/	TASK::Извлечение_именованных_сущностей(0.7111415863037109)
7	ainl_2018_5d6d09653a6c1adaa04ee45662008d0d4dc3d184	en	0.9882720112800598	Deep Convolutional Networks for Supervised Morpheme Segmentation of Russian Language	https://link.springer.com/chapter/10.1007/978-3-030-01204-5_1	TASK::Cегментация_текста(0.7239377498626709)|TASK::Конечные_преобразователи(0.718163251876831)|TASK::Дистрибутивная_семантика(0.7174970507621765)|TASK::Обнаружение_дубликатов(0.7043273448944092)|TASK::Извлечение_именованных_сущностей(0.7001833319664001)
8	dialogue_2018_592f80b29e1a2d959e92f2a5ca1601b45b2990aa	en	0.9882270097732544	Improving Part-of-speech Tagging Via Multi-task Learning and Character-level Word Representations	http://www.dialog-21.ru/media/4282/anastasyevdg.pdf	TASK::Извлечение_именованных_сущностей(0.7067582011222839)
9	aist_2018_3b4a66d1e88d2674772efe01f34ba1b412b49756	en	0.9882203340530396	Russian Q&a Method Study: from Naive Bayes to Convolutional Neural Networks	https://link.springer.com/chapter/10.1007/978-3-030-11027-7_12	TASK::Извлечение_именованных_сущностей(0.7038213610649109)|TASK::Тематическое_моделирование(0.7033823728561401)|TASK::Cегментация_текста(0.701689600944519)
10	dialogue_2016_5c7560d2b8daf2ae1e06aa781d74bff0a131fbc9	en	0.988079309463501	Improving Distributional Semantic Models Using Anaphora Resolution During Linguistic Preprocessing	http://www.dialog-21.ru/media/3401/koslowaokutuzova.pdf	TASK::Извлечение_именованных_сущностей(0.7101150751113892)|TASK::Дистрибутивная_семантика(0.7093521356582642)|TASK::Тематическое_моделирование(0.7068511247634888)

35.		dialogue_2018_8199d54eb226a7a544ec156a32c9912cf53d1359	en	Automated Text Readability Assessment for Russian Second Language Learners	http://www.dialog-21.ru/media/4312/laposhina%D0%B0n.pdf	TASK::Cегментация_текста(0.7126003503799438)|TASK::Тематическое_моделирование(0.7041977643966675)
1	dialogue_2018_f49e5d3bee8499b46bf37c11ebeb1369d105bada	en	0.9917446374893188	Efficiency of Text Readability Features in Russian Academic Texts	http://www.dialog-21.ru/media/4302/ivanovvv.pdf	TASK::Cегментация_текста(0.7116835117340088)|TASK::Тематическое_моделирование(0.7022366523742676)
